Rank,GT Char,Pred Char,Count,% of Errors,Example Words
1, ,e,31,0.16%,"[',', 'Rop', ',']"
2,n,e,23,0.12%,"['ander', 'zijn', 'en']"
3,a,e,23,0.12%,"['Kapitale', 'Guandang', 'aler']"
4,m,n,22,0.11%,"['met', 'Limbot,', 'met']"
5, ,a,20,0.10%,"['gedan', '.', 'maken']"
6, ,t,20,0.10%,"['grot', 'bewerken', '9:den']"
7, ,o,19,0.10%,"['zo', 'Boter', 'Apij']"
8,d,t,15,0.08%,"['de', 'heden', '(onderstond)']"
9,o,e,14,0.07%,"['strom', 'tontolij', '(onderstond)']"
10,n,a,13,0.07%,"['voldaen', 'maken', 'Matrosen']"
11,e,t,13,0.07%,"['desen', 'met', '9ber']"
12,e,s,12,0.06%,"['zeten', 'voete', 'heijlige']"
13,l,e,12,0.06%,"['Corporal', 'miserable', 'denselven']"
14,e,o,12,0.06%,"['stevenende', 'selven', 'denselven']"
15,i,e,11,0.06%,"['bij', 'penist', 'verigten']"
16,r,a,11,0.06%,"['grot', 'Corporal', 'geweldenarijen,']"
17, ,r,11,0.06%,"['.', 'platsen,', 'ales']"
18, ,v,11,0.06%,"['kn', '17', 'en']"
19,i,t,11,0.06%,"['gemediterd', 'Eerbiedig', 'sieken']"
20,e,r,11,0.06%,"['bescheydene', 'legen,', 'heden']"
